section,category,metric,value,notes
PER_LABEL_RELIABILITY,Event_2_SUB,Coder 1 Prevalence,0.0938,
PER_LABEL_RELIABILITY,Event_2_SUB,Coder 2 Prevalence,0.0559,
PER_LABEL_RELIABILITY,Event_2_SUB,Percent Agreement,0.9461,
PER_LABEL_RELIABILITY,Event_2_SUB,Cohen's Kappa,0.6129,
PER_LABEL_RELIABILITY,Event_2_SUB,Gwet's AC1,0.8922,
PER_LABEL_RELIABILITY,Event_3_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Event_3_SUB,Coder 1 Prevalence,0.0818,
PER_LABEL_RELIABILITY,Event_3_SUB,Coder 2 Prevalence,0.1038,
PER_LABEL_RELIABILITY,Event_3_SUB,Percent Agreement,0.9581,
PER_LABEL_RELIABILITY,Event_3_SUB,Cohen's Kappa,0.7514,
PER_LABEL_RELIABILITY,Event_3_SUB,Gwet's AC1,0.9162,
PER_LABEL_RELIABILITY,Event_4_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Event_4_SUB,Coder 1 Prevalence,0.0579,
PER_LABEL_RELIABILITY,Event_4_SUB,Coder 2 Prevalence,0.0459,
PER_LABEL_RELIABILITY,Event_4_SUB,Percent Agreement,0.9760,
PER_LABEL_RELIABILITY,Event_4_SUB,Cohen's Kappa,0.7568,
PER_LABEL_RELIABILITY,Event_4_SUB,Gwet's AC1,0.9521,
PER_LABEL_RELIABILITY,Event_5_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Event_5_SUB,Coder 1 Prevalence,0.0778,
PER_LABEL_RELIABILITY,Event_5_SUB,Coder 2 Prevalence,0.0998,
PER_LABEL_RELIABILITY,Event_5_SUB,Percent Agreement,0.9222,
PER_LABEL_RELIABILITY,Event_5_SUB,Cohen's Kappa,0.5198,
PER_LABEL_RELIABILITY,Event_5_SUB,Gwet's AC1,0.8443,
PER_LABEL_RELIABILITY,Event_6_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Event_6_SUB,Coder 1 Prevalence,0.0279,
PER_LABEL_RELIABILITY,Event_6_SUB,Coder 2 Prevalence,0.0259,
PER_LABEL_RELIABILITY,Event_6_SUB,Percent Agreement,0.9900,
PER_LABEL_RELIABILITY,Event_6_SUB,Cohen's Kappa,0.8097,
PER_LABEL_RELIABILITY,Event_6_SUB,Gwet's AC1,0.9800,
PER_LABEL_RELIABILITY,Event_7_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Event_7_SUB,Coder 1 Prevalence,0.0359,
PER_LABEL_RELIABILITY,Event_7_SUB,Coder 2 Prevalence,0.0379,
PER_LABEL_RELIABILITY,Event_7_SUB,Percent Agreement,0.9860,
PER_LABEL_RELIABILITY,Event_7_SUB,Cohen's Kappa,0.8036,
PER_LABEL_RELIABILITY,Event_7_SUB,Gwet's AC1,0.9721,
PER_LABEL_RELIABILITY,Event_8_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Event_8_SUB,Coder 1 Prevalence,0.0299,
PER_LABEL_RELIABILITY,Event_8_SUB,Coder 2 Prevalence,0.0279,
PER_LABEL_RELIABILITY,Event_8_SUB,Percent Agreement,0.9860,
PER_LABEL_RELIABILITY,Event_8_SUB,Cohen's Kappa,0.7514,
PER_LABEL_RELIABILITY,Event_8_SUB,Gwet's AC1,0.9721,
PER_LABEL_RELIABILITY,Event_Detection,Sample Size,501,
PER_LABEL_RELIABILITY,Event_Detection,Coder 1 Prevalence,0.3992,
PER_LABEL_RELIABILITY,Event_Detection,Coder 2 Prevalence,0.0000,
PER_LABEL_RELIABILITY,Event_Detection,Percent Agreement,0.6008,
PER_LABEL_RELIABILITY,Event_Detection,Cohen's Kappa,0.0000,
PER_LABEL_RELIABILITY,Event_Detection,Gwet's AC1,0.2016,
PER_LABEL_RELIABILITY,Just_1_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Just_1_SUB,Coder 1 Prevalence,0.0339,
PER_LABEL_RELIABILITY,Just_1_SUB,Coder 2 Prevalence,0.0060,
PER_LABEL_RELIABILITY,Just_1_SUB,Percent Agreement,0.9681,
PER_LABEL_RELIABILITY,Just_1_SUB,Cohen's Kappa,0.1918,
PER_LABEL_RELIABILITY,Just_1_SUB,Gwet's AC1,0.9361,
PER_LABEL_RELIABILITY,Just_2_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Just_2_SUB,Coder 1 Prevalence,0.0499,
PER_LABEL_RELIABILITY,Just_2_SUB,Coder 2 Prevalence,0.0200,
PER_LABEL_RELIABILITY,Just_2_SUB,Percent Agreement,0.9701,
PER_LABEL_RELIABILITY,Just_2_SUB,Cohen's Kappa,0.5588,
PER_LABEL_RELIABILITY,Just_2_SUB,Gwet's AC1,0.9401,
PER_LABEL_RELIABILITY,Just_3_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Just_3_SUB,Coder 1 Prevalence,0.0419,
PER_LABEL_RELIABILITY,Just_3_SUB,Coder 2 Prevalence,0.0359,
PER_LABEL_RELIABILITY,Just_3_SUB,Percent Agreement,0.9741,
PER_LABEL_RELIABILITY,Just_3_SUB,Cohen's Kappa,0.6533,
PER_LABEL_RELIABILITY,Just_3_SUB,Gwet's AC1,0.9481,
PER_LABEL_RELIABILITY,Just_4_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Just_4_SUB,Coder 1 Prevalence,0.0579,
PER_LABEL_RELIABILITY,Just_4_SUB,Coder 2 Prevalence,0.0000,
PER_LABEL_RELIABILITY,Just_4_SUB,Percent Agreement,0.9421,
PER_LABEL_RELIABILITY,Just_4_SUB,Cohen's Kappa,0.0000,
PER_LABEL_RELIABILITY,Just_4_SUB,Gwet's AC1,0.8842,
PER_LABEL_RELIABILITY,Just_5_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Just_5_SUB,Coder 1 Prevalence,0.0339,
PER_LABEL_RELIABILITY,Just_5_SUB,Coder 2 Prevalence,0.0259,
PER_LABEL_RELIABILITY,Just_5_SUB,Percent Agreement,0.9760,
PER_LABEL_RELIABILITY,Just_5_SUB,Cohen's Kappa,0.5879,
PER_LABEL_RELIABILITY,Just_5_SUB,Gwet's AC1,0.9521,
PER_LABEL_RELIABILITY,Just_Detection,Sample Size,501,
PER_LABEL_RELIABILITY,Just_Detection,Coder 1 Prevalence,0.1397,
PER_LABEL_RELIABILITY,Just_Detection,Coder 2 Prevalence,0.0000,
PER_LABEL_RELIABILITY,Just_Detection,Percent Agreement,0.8603,
PER_LABEL_RELIABILITY,Just_Detection,Cohen's Kappa,0.0000,
PER_LABEL_RELIABILITY,Just_Detection,Gwet's AC1,0.7206,
PER_LABEL_RELIABILITY,Location_Detection,Sample Size,501,
