model_name,best_epoch,score,macro_f1,weighted_f1,test_loss,train_loss,class_1_precision,class_1_recall,class_1_f1_score,class_1_support,class_0_support,train_class_0_count,train_class_1_count,test_class_0_count,test_class_1_count
Eco_1_SUB_EN.jsonl,3,1.598,0.65,0.76,0.56,0.35,0.67,0.33,0.44,6.0,17.0,158,61,17,6
Event_8_SUB_EN.jsonl,3,0.484,0.49,0.95,0.13,0.13,0.0,0.0,0.0,1.0,31.0,288,11,31,1
Messenger_5_SUB_EN.jsonl,3,4.0,1.0,1.0,0.01,0.01,1.0,1.0,1.0,1.0,71.0,644,13,71,1
Pol_Detection_EN.jsonl,1,3.2520000000000007,0.86,0.88,0.33,0.5,0.82,0.8,0.81,46.0,96.0,869,416,96,46
Event_2_SUB_FR.jsonl,5,3.976,0.97,0.97,0.09,0.07,0.92,1.0,0.96,11.0,28.0,255,100,28,11
Cult_3_SUB_FR.jsonl,15,0.406,0.44,0.71,0.46,0.19,0.0,0.0,0.0,1.0,4.0,41,4,4,1
Event_7_SUB_EN.jsonl,1,0.484,0.49,0.95,0.07,0.31,0.0,0.0,0.0,1.0,32.0,296,2,32,1
Pbh_Detection_FR.jsonl,6,3.938,0.9,0.99,0.04,0.07,0.67,1.0,0.8,4.0,153.0,1379,37,153,4
Secu_3_SUB_EN.jsonl,20,4.0,1.0,1.0,0.13,0.07,1.0,1.0,1.0,1.0,1.0,9,10,1,1
Sci_3_SUB_EN.jsonl,12,3.2720000000000007,0.88,0.92,0.42,0.02,0.8,0.8,0.8,5.0,21.0,194,50,21,5
Eco_4_SUB_FR.jsonl,9,1.7900000000000003,0.6,0.75,0.64,0.12,0.33,0.4,0.36,5.0,22.0,205,48,22,5
Just_1_SUB_FR.jsonl,15,0.386,0.43,0.64,0.55,0.21,0.0,0.0,0.0,2.0,6.0,62,20,6,2
RED_Detection_FR.jsonl,8,2.8040000000000003,0.78,0.96,0.16,0.02,0.5,0.67,0.57,6.0,150.0,1354,63,150,6
Just_3_SUB_EN.jsonl,5,0.45199999999999996,0.47,0.85,0.32,0.22,0.0,0.0,0.0,1.0,9.0,81,8,9,1
Event_Detection_EN.jsonl,2,3.6,0.73,0.77,0.42,0.35,0.48,0.94,0.64,33.0,109.0,987,298,109,33
Messenger_8_SUB_FR.jsonl,7,2.806,0.79,0.94,0.14,0.14,0.57,0.67,0.62,6.0,75.0,681,55,75,6
Cult_Detection_FR.jsonl,10,3.2980000000000005,0.9,0.99,0.06,0.01,0.8,0.8,0.8,5.0,152.0,1371,45,152,5
Envt_2_SUB_FR.jsonl,12,3.864,0.83,0.83,0.46,0.26,0.75,1.0,0.86,3.0,3.0,31,32,3,3
Cult_1_SUB_EN.jsonl,13,4.0,1.0,1.0,0.01,0.01,1.0,1.0,1.0,2.0,2.0,24,20,2,2
Location_Detection_EN.jsonl,1,3.794,0.9,0.91,0.25,0.46,0.81,0.96,0.88,49.0,93.0,840,445,93,49
Event_5_SUB_FR.jsonl,11,2.802,0.8,0.89,0.25,0.03,0.67,0.67,0.67,6.0,32.0,296,60,32,6
Sci_1_SUB_FR.jsonl,7,1.8500000000000003,0.69,0.78,0.51,0.28,0.67,0.4,0.5,5.0,15.0,139,46,15,5
Messenger_2_SUB_EN.jsonl,3,2.262,0.79,0.94,0.18,0.15,0.75,0.5,0.6,6.0,66.0,602,55,66,6
Secu_1_SUB_FR.jsonl,1,0.264,0.33,0.33,0.7,0.69,0.0,0.0,0.0,1.0,1.0,15,4,1,1
Messenger_7_SUB_FR.jsonl,10,2.208,0.69,0.97,0.15,0.03,0.33,0.5,0.4,2.0,78.0,711,26,78,2
Secu_4_SUB_EN.jsonl,1,4.0,1.0,1.0,0.66,0.77,1.0,1.0,1.0,1.0,1.0,13,6,1,1
Sci_4_SUB_EN.jsonl,5,1.372,0.67,0.85,0.39,0.19,1.0,0.25,0.4,4.0,22.0,207,37,22,4
Cult_4_SUB_FR.jsonl,5,0.406,0.44,0.71,0.51,0.32,0.0,0.0,0.0,1.0,4.0,43,2,4,1
Solution_1_SUB_EN.jsonl,5,3.8240000000000003,0.73,0.93,0.13,0.07,0.94,1.0,0.97,31.0,3.0,0,0,0,0
Eco_3_SUB_FR.jsonl,7,2.226,0.75,0.88,0.38,0.3,0.67,0.5,0.57,4.0,23.0,211,42,23,4
Pbh_1_SUB_FR.jsonl,3,3.5860000000000003,0.43,0.64,0.57,0.52,0.75,1.0,0.86,3.0,1.0,5,32,1,3
Sci_Detection_EN.jsonl,6,3.2820000000000005,0.85,0.9,0.61,0.01,0.71,0.81,0.76,27.0,115.0,1042,243,115,27
Eco_5_SUB_FR.jsonl,7,3.0940000000000003,0.86,0.89,0.4,0.09,0.86,0.75,0.8,8.0,19.0,176,77,19,8
Messenger_1_SUB_FR.jsonl,9,4.0,1.0,1.0,0.01,0.01,1.0,1.0,1.0,1.0,80.0,728,8,80,1
Sci_2_SUB_EN.jsonl,3,3.0880000000000005,0.7,0.7,0.63,0.3,0.69,0.79,0.73,14.0,13.0,117,126,13,14
Solutions_Detection_FR.jsonl,3,3.58,0.83,0.85,0.46,0.13,0.68,0.91,0.78,46.0,111.0,1001,415,111,46
Envt_1_SUB_EN.jsonl,13,4.0,1.0,1.0,0.1,0.08,1.0,1.0,1.0,5.0,3.0,35,50,3,5
Cult_2_SUB_FR.jsonl,8,4.0,1.0,1.0,0.6,0.51,1.0,1.0,1.0,2.0,2.0,25,21,2,2
Event_6_SUB_EN.jsonl,9,4.0,1.0,1.0,0.01,0.0,1.0,1.0,1.0,1.0,32.0,288,10,32,1
Event_3_SUB_FR.jsonl,9,4.0,1.0,1.0,0.02,0.05,1.0,1.0,1.0,12.0,26.0,242,114,26,12
Envt_Detection_FR.jsonl,7,2.236,0.74,0.96,0.13,0.03,0.5,0.5,0.5,6.0,150.0,1354,63,150,6
Emotion:_Positive_FR.jsonl,3,2.2800000000000002,0.82,0.94,0.24,0.29,1.0,0.5,0.67,16.0,140.0,1266,151,140,16
Messenger_Detection_EN.jsonl,3,3.712,0.88,0.88,0.41,0.11,0.84,0.94,0.89,72.0,69.0,629,657,69,72
