label,language,TP,FP,FN,precision,recall,f1,gold_count,predicted_count
Event_2_SUB,FR,27,9,4,0.7500,0.8710,0.8060,31,36
Event_2_SUB,ALL,47,12,26,0.7966,0.6438,0.7121,73,59
ALL_LABELS,FR,2429,442,719,0.8460,0.7716,0.8071,3149,2871
ALL_LABELS,ALL,4624,968,1612,0.8269,0.7415,0.7819,6236,5592
Solutions_1_SUB,FR,108,2,17,0.9818,0.8640,0.9191,125,110
Solutions_1_SUB,ALL,165,21,44,0.8871,0.7895,0.8354,209,186
Emotion:_Negative,FR,154,19,38,0.8902,0.8021,0.8438,192,173
Emotion:_Negative,ALL,335,68,71,0.8313,0.8251,0.8282,406,403
Pol_Detection,FR,119,13,58,0.9015,0.6723,0.7702,177,132
Pol_Detection,ALL,257,22,102,0.9211,0.7159,0.8056,359,279
