number,category,code,language,technical_label,reinforcement_triggered,n_epochs_normal_executed,n_epochs_reinforced_executed,best_epoch,best_training_phase,best_train_loss,best_val_loss,best_precision_0,best_recall_0,best_f1_0,support_0,best_precision_1,best_recall_1,best_f1_1,support_1,best_macro_f1,saved_model_path,model_artifact_mtime_utc
52,Publication,evt_publication,EN,Event_3_SUB,False,20,,4,normal,0.0379748672261187,0.0686106159566686,0.9971910112359552,0.9833795013850416,0.99023709902371,361,0.8,0.96,0.8727272727272727,25,0.9314821858754914,models/Event_3_SUB_EN.jsonl.model_epoch_4,2025-05-01T20:46:15+00:00
52,Publication,evt_publication,FR,Event_3_SUB,False,20,,7,normal,0.0604766871159275,0.0230254791676998,1.0,1.0,1.0,26,1.0,1.0,1.0,12,1.0,models/Event_3_SUB_FR.jsonl.model_epoch_7,2025-05-01T20:58:54+00:00
53,Election,evt_election,EN,Event_4_SUB,False,20,,4,normal,0.1002203322015702,0.0266098137944936,1.0,1.0,1.0,31,1.0,1.0,1.0,1,1.0,models/Event_4_SUB_EN.jsonl.model_epoch_4,2025-05-01T21:02:05+00:00
53,Election,evt_election,FR,Event_4_SUB,True,20,20.0,10,reinforced,0.0023024843181841,0.0364700374171102,0.997560975609756,0.997560975609756,0.997560975609756,410,0.8,0.8,0.8,5,0.8987804878048781,models/Event_4_SUB_FR.jsonl.model_reinforced_epoch_10,2025-05-01T21:25:38+00:00
54,New policy,evt_policy,EN,Event_5_SUB,False,20,,7,normal,0.0041710217832587,0.2252524168579839,0.9615384615384616,0.925925925925926,0.9433962264150944,27,0.7142857142857143,0.8333333333333334,0.7692307692307693,6,0.8563134978229319,models/Event_5_SUB_EN.jsonl.model_epoch_7,2025-05-01T21:32:23+00:00
54,New policy,evt_policy,FR,Event_5_SUB,False,20,,8,normal,0.0354325785301625,0.220776280388236,0.9393939393939394,0.96875,0.953846153846154,32,0.8,0.6666666666666666,0.7272727272727273,6,0.8405594405594405,models/Event_5_SUB_FR.jsonl.model_epoch_8,2025-05-01T21:36:41+00:00
55,Judiciary decision,evt_judiciary,EN,Event_6_SUB,False,20,,7,normal,0.0080197382718324,0.019396108618821,1.0,1.0,1.0,32,1.0,1.0,1.0,1,1.0,models/Event_6_SUB_EN.jsonl.model_epoch_7,2025-05-01T21:40:00+00:00
55,Judiciary decision,evt_judiciary,FR,Event_6_SUB,False,20,,9,normal,0.0228812602193405,0.0111922682262957,1.0,1.0,1.0,38,1.0,1.0,1.0,1,1.0,models/Event_6_SUB_FR.jsonl.model_epoch_9,2025-05-01T21:44:10+00:00
56,Cultural or Sports event,evt_cultural,EN,Event_7_SUB,True,20,20.0,4,normal,0.0101735916670841,0.0859191142612521,0.9896103896103896,1.0,0.9947780678851176,381,1.0,0.2,0.3333333333333333,5,0.6640557006092254,models/Event_7_SUB_EN.jsonl.model_epoch_4,2025-05-01T21:49:18+00:00
56,Cultural or Sports event,evt_cultural,FR,Event_7_SUB,False,20,,7,normal,0.046675239301597,0.0118818464688956,1.0,1.0,1.0,38,1.0,1.0,1.0,1,1.0,models/Event_7_SUB_FR.jsonl.model_epoch_7,2025-05-01T22:13:49+00:00
