model_name,best_epoch,score,macro_f1,weighted_f1,test_loss,train_loss,class_1_precision,class_1_recall,class_1_f1_score,class_1_support,class_0_support,train_class_0_count,train_class_1_count,test_class_0_count,test_class_1_count
Envt_2_SUB_FR.jsonl,11,4.0,1.0,1.0,0.33,0.31,1.0,1.0,1.0,3.0,3.0,31,32,3,3
Cult_1_SUB_EN.jsonl,8,4.0,1.0,1.0,0.39,0.29,1.0,1.0,1.0,2.0,2.0,24,20,2,2
Location_Detection_EN.jsonl,2,3.5240000000000005,0.88,0.9,0.48,0.18,0.83,0.88,0.85,49.0,93.0,840,445,93,49
Event_5_SUB_FR.jsonl,6,2.2680000000000002,0.81,0.91,0.26,0.23,1.0,0.5,0.67,6.0,32.0,296,60,32,6
Sci_1_SUB_FR.jsonl,7,0.386,0.43,0.64,0.44,0.44,0.0,0.0,0.0,5.0,15.0,139,46,15,5
Messenger_2_SUB_EN.jsonl,5,1.6600000000000001,0.7,0.92,0.24,0.03,0.67,0.33,0.44,6.0,66.0,602,55,66,6
Secu_1_SUB_FR.jsonl,1,0.264,0.33,0.33,0.71,0.69,0.0,0.0,0.0,1.0,1.0,15,4,1,1
Secu_4_SUB_EN.jsonl,1,0.0,0.0,0.0,0.76,0.76,0.0,0.0,0.0,1.0,1.0,13,6,1,1
Sci_4_SUB_EN.jsonl,1,0.43200000000000005,0.46,0.78,0.44,0.55,0.0,0.0,0.0,4.0,22.0,207,37,22,4
Cult_4_SUB_FR.jsonl,5,0.406,0.44,0.71,0.5,0.36,0.0,0.0,0.0,1.0,4.0,43,2,4,1
Solution_1_SUB_EN.jsonl,6,3.8240000000000003,0.73,0.93,0.11,0.02,0.94,1.0,0.97,31.0,3.0,35,279,3,31
Eco_3_SUB_FR.jsonl,8,1.268,0.53,0.75,0.55,0.24,0.2,0.25,0.22,4.0,23.0,211,42,23,4
Sci_Detection_EN.jsonl,1,3.4320000000000004,0.88,0.92,0.23,0.39,0.77,0.85,0.81,27.0,115.0,1042,243,115,27
Eco_5_SUB_FR.jsonl,7,3.5780000000000003,0.95,0.96,0.22,0.18,1.0,0.88,0.93,8.0,19.0,176,77,19,8
Sci_2_SUB_EN.jsonl,1,3.7760000000000002,0.72,0.72,0.63,0.68,0.67,1.0,0.8,14.0,13.0,117,126,13,14
Solutions_Detection_FR.jsonl,2,3.5400000000000005,0.86,0.88,0.3,0.27,0.75,0.89,0.81,46.0,111.0,1001,415,111,46
Envt_1_SUB_EN.jsonl,4,3.744,0.67,0.71,0.59,0.44,0.71,1.0,0.83,5.0,3.0,35,50,3,5
Cult_2_SUB_FR.jsonl,16,4.0,1.0,1.0,0.19,0.19,1.0,1.0,1.0,2.0,2.0,25,21,2,2
Event_6_SUB_EN.jsonl,8,0.484,0.49,0.95,0.02,0.0,0.0,0.0,0.0,1.0,32.0,288,10,32,1
Event_3_SUB_FR.jsonl,8,3.976,0.97,0.97,0.09,0.07,0.92,1.0,0.96,12.0,26.0,242,114,26,12
Envt_Detection_FR.jsonl,7,0.482,0.49,0.94,0.16,0.18,0.0,0.0,0.0,6.0,150.0,1354,63,150,6
Emotion:_Positive_FR.jsonl,4,1.1420000000000001,0.6,0.87,0.27,0.23,0.43,0.19,0.26,16.0,140.0,1266,151,140,16
Messenger_Detection_EN.jsonl,2,3.7600000000000002,0.86,0.86,0.39,0.2,0.8,0.96,0.87,72.0,69.0,629,657,69,72
Messenger_4_SUB_EN.jsonl,1,0.496,0.5,0.98,0.06,0.17,0.0,0.0,0.0,1.0,72.0,655,1,72,1
Just_Detection_EN.jsonl,6,3.2380000000000004,0.91,0.98,0.13,0.02,0.88,0.78,0.82,9.0,132.0,1196,90,132,9
Just_5_SUB_EN.jsonl,14,0.44999999999999996,0.47,0.84,0.14,0.01,0.0,0.0,0.0,1.0,8.0,76,14,8,1
Pol_3_SUB_EN.jsonl,2,0.43600000000000005,0.46,0.8,0.27,0.35,0.0,0.0,0.0,6.0,39.0,356,61,39,6
Solution_2_SUB_FR.jsonl,6,2.952,0.83,0.91,0.21,0.06,0.71,0.71,0.71,7.0,39.0,351,64,39,7
Secu_Detection_FR.jsonl,12,4.0,1.0,1.0,0.01,0.01,1.0,1.0,1.0,2.0,155.0,1397,19,155,2
Pol_1_SUB_FR.jsonl,7,1.646,0.69,0.88,0.4,0.25,0.67,0.33,0.44,6.0,42.0,382,58,42,6
Eco_2_SUB_FR.jsonl,9,0.484,0.49,0.95,0.15,0.12,0.0,0.0,0.0,1.0,27.0,245,7,27,1
Event_1_SUB_EN.jsonl,3,3.1340000000000003,0.91,0.94,0.13,0.24,1.0,0.75,0.86,8.0,25.0,226,72,25,8
Messenger_6_SUB_FR.jsonl,4,2.524,0.81,0.91,0.31,0.09,0.78,0.58,0.67,12.0,68.0,620,117,68,12
Eco_Detection_FR.jsonl,4,3.0780000000000003,0.83,0.9,0.27,0.14,0.7,0.75,0.72,28.0,129.0,1164,252,129,28
Messenger_3_SUB_EN.jsonl,1,0.496,0.5,0.98,0.06,0.18,0.0,0.0,0.0,1.0,72.0,653,3,72,1
Event_4_SUB_FR.jsonl,6,0.478,0.49,0.92,0.24,0.14,0.0,0.0,0.0,2.0,37.0,337,18,37,2
Just_2_SUB_EN.jsonl,3,4.0,1.0,1.0,0.52,0.6,1.0,1.0,1.0,4.0,5.0,52,38,5,4
Pol_4_SUB_EN.jsonl,3,0.48,0.49,0.93,0.06,0.07,0.0,0.0,0.0,2.0,43.0,396,21,43,2
